# source, target, distance, airline, airline_code, codeshare, equipment, stops
0,2,124.52012096473425,CG,1308,0,DH8 DHT,0
0,3,157.15082231156825,CG,1308,0,DH8,0
0,1,106.74739918017255,CG,1308,0,DH8,0
0,4,424.7260963139924,CG,1308,0,DH8,0
0,4,424.7260963139924,PX,328,0,DH4 DH8 DH3,0
1,0,106.74739918017255,CG,1308,0,DH8,0
1,2,179.09219401277795,CG,1308,0,DH8,0
1,3,183.63552816336468,CG,1308,0,DH8,0
1,5,296.4356110208962,CG,1308,0,DH8,0
1,2250,394.1054757437472,PX,328,0,100,0
1,4,496.934106957146,PX,328,0,DH4 100,0
1,2256,570.9656842724496,PX,328,0,DH4,0
1,5,296.4356110208962,PX,328,0,100 DH4,0
2,0,124.52012096473425,CG,1308,0,DH8 DHT,0
2,3,281.12560245348726,CG,1308,0,DH8,0
2,1,179.09219401277795,CG,1308,0,DH8,0
2,2251,131.3552347761337,CG,1308,0,DHT,0
2,4,515.4585592693869,CG,1308,0,DH8,0
2,2254,345.29846913763896,CG,1308,0,DH8,0
2,2253,149.17523031100018,CG,1308,0,DH8,0
2,5,258.98403626472765,CG,1308,0,DH8,0
2,4,515.4585592693869,PX,328,0,100,0
2,5,258.98403626472765,PX,328,0,100,0
3,2243,478.1531073631802,CG,1308,0,DH8,0
3,0,157.15082231156825,CG,1308,0,DH8,0
3,2,281.12560245348726,CG,1308,0,DH8,0
3,2246,425.19625610500657,CG,1308,0,DH8,0
3,1,183.63552816336468,CG,1308,0,DH8,0
3,2250,507.3531125771393,CG,1308,0,DH8,0
3,2245,303.6973080123444,CG,1308,0,DH8,0
3,4,324.2253021660549,CG,1308,0,DH8,0
3,2255,673.3287552283324,CG,1308,0,DH8,0
3,2246,425.19625610500657,PX,328,0,DH4,0
3,4,324.2253021660549,PX,328,0,100 DH4,0
4,1610,2089.324649353829,CG,1308,0,737,0
4,2243,442.21280365690967,CG,1308,0,DH8 DHT,0
4,0,424.7260963139924,CG,1308,0,DH8,0
4,2244,354.62968792741424,CG,1308,0,DH8,0
4,2,515.4585592693869,CG,1308,0,DH8,0
4,2246,565.1888848240915,CG,1308,0,DH8,0
4,3,324.2253021660549,CG,1308,0,DH8,0
4,2251,556.5840858727446,CG,1308,0,DH8,0
4,2245,139.1135532759672,CG,1308,0,DH8,0
4,2255,804.1207605528526,CG,1308,0,DH8,0
4,2254,807.2156698975346,CG,1308,0,DH8,0
4,2253,617.9922841933235,CG,1308,0,DH8,0
4,2247,751.1856436203408,CG,1308,0,DH8,0
4,1610,2089.324649353829,PX,328,0,763 738,0
4,2241,935.6652609438739,PX,328,0,100,0
4,2135,3382.6229509237883,PX,328,0,738,0
4,2242,453.9356229933561,PX,328,0,DH8,0
4,1612,842.8634955894496,PX,328,0,DH4,0
4,2243,442.21280365690967,PX,328,0,DH4 DH3,0
4,1951,3520.0614692860363,PX,328,0,738,0
4,0,424.7260963139924,PX,328,0,DH4 DH8 DH3,0
4,2244,354.62968792741424,PX,328,0,DH3 DH4 DH8,0
4,2,515.4585592693869,PX,328,0,100,0
4,2048,1408.2399081012848,PX,328,0,DH4 737,0
4,1485,5065.120842548667,PX,328,0,763,0
4,2246,565.1888848240915,PX,328,0,DH4,0
4,2248,860.3681315135877,PX,328,0,DH4 100,0
4,3,324.2253021660549,PX,328,0,100 DH4,0
4,1,496.934106957146,PX,328,0,100 DH4,0
4,2250,821.3518247529397,PX,328,0,100 737,0
4,2249,537.1257778616159,PX,328,0,DH8,0
4,1115,3930.4794490746694,PX,328,0,738,0
4,903,3390.398263588856,PX,328,0,737,0
4,1058,5079.356833753771,PX,328,0,738,0
4,2245,139.1135532759672,PX,328,0,DH3 DH4 DH8,0
4,2255,804.1207605528526,PX,328,0,100 DH4,0
4,1607,4936.372452908332,PX,328,0,763 738,0
4,1639,2755.2566721825933,PX,328,0,738,0
4,2254,807.2156698975346,PX,328,0,DH3,0
4,2253,617.9922841933235,PX,328,0,DH8 DH3,0
4,2247,751.1856436203408,PX,328,0,DH8 DH3,0
4,2256,995.8225234483182,PX,328,0,DH4,0
4,2257,559.4920713427638,PX,328,0,DH8,0
4,5,760.6876544640353,PX,328,0,100 DH4,0
4,1610,2089.324649353829,QF,4089,1,763 738,0
4,1612,842.8634955894496,QF,4089,1,DH4,0
4,1639,2755.2566721825933,QF,4089,1,738,0
4,1610,2089.324649353829,VA,5360,1,73H,0
5,2,258.98403626472765,CG,1308,0,DH8,0
5,1,296.4356110208962,CG,1308,0,DH8,0
5,2,258.98403626472765,PX,328,0,100,0
5,1,296.4356110208962,PX,328,0,100 DH4,0
5,4,760.6876544640353,PX,328,0,100 DH4,0
5,2256,280.87080575072605,PX,328,0,DH4,0
6,7,463.8379297609996,GL,921,0,DH8,0
6,2260,242.56881383972453,GL,921,0,DH8,0
6,2261,59.26720696254417,GL,921,0,BH2,0
6,2264,43.56097774805129,GL,921,0,BH2,0
6,8,699.1712906026588,GL,921,0,DH8,0
7,1988,562.6219015071323,GL,921,0,DH8,0
7,2260,264.7418486669385,GL,921,0,DH8,0
7,2266,321.16719127740447,GL,921,0,DH8,0
7,2262,148.4198643244952,GL,921,0,DH7,0
7,13,1400.9947750390368,GL,921,0,DH8,0
7,8,316.93144421975524,GL,921,0,DH8,0
7,6,463.8379297609996,GL,921,0,DH8,0
7,14,1428.5448874520482,NY,896,0,DH8,0
8,295,3430.2085837703617,GL,921,0,332,0
8,7,316.93144421975524,GL,921,0,DH8 DH7,0
8,1988,248.56317610841012,GL,921,0,DH8,0
8,1989,209.03475339143083,GL,921,0,DH8,0
8,2266,131.41226453627513,GL,921,0,DH7 DH8,0
8,2262,204.0577396243964,GL,921,0,DH7,0
8,6,699.1712906026588,GL,921,0,DH8,0
9,2265,107.86059052944474,GL,921,0,BH2,0
10,14,249.48314753383204,NY,896,0,F50 DH8,0
11,14,380.2791812218355,NY,896,0,F50 DH8,0
12,14,221.63341618555393,NY,896,0,DH8,0
13,218,2445.109872192848,AY,2350,1,75W,0
13,308,1489.9230825509585,DY,3737,0,73H,0
13,315,1783.3620382513495,DY,3737,0,733,0
13,282,2038.3013271082248,FI,2835,0,75W 75T,0
13,368,2143.181019700646,FI,2835,0,75W,0
13,308,1489.9230825509585,FI,2835,0,75W,0
13,294,1967.9982848077648,FI,2835,0,75W,0
13,1699,3875.456503451712,FI,2835,0,75W,0
13,184,2148.7882975414504,FI,2835,0,75W,0
13,628,2241.7808811870736,FI,2835,0,75W,0
13,295,2144.594364541496,FI,2835,0,75T 75W,0
13,1853,5728.782207098829,FI,2835,0,75W,0
13,1721,4178.216536345445,FI,2835,0,75W,0
13,191,2401.9636339783474,FI,2835,0,75W,0
13,270,1347.8797912794994,FI,2835,0,75W,0
13,218,2445.109872192848,FI,2835,0,75W,0
13,1829,4496.288208693866,FI,2835,0,75W,0
13,1870,4164.5529171751605,FI,2835,0,75T,0
13,253,1935.8775899632005,FI,2835,0,75W,0
13,255,1895.589333777035,FI,2835,0,75W,0
13,242,1653.6078716088005,FI,2835,0,75W,0
13,196,2692.5991809444126,FI,2835,0,75W,0
13,315,1783.3620382513495,FI,2835,0,75W 75T,0
13,1754,5813.16429779253,FI,2835,0,75W,0
