# source, target, width, color
1,328,5.583652019500732,"#727272
"
4,475,6.357879161834717,"#7b7b7b
"
6,69,5.709767818450928,"#737373
"
8,18,5.1193413734436035,"#6c6c6c
"
8,9,3.7212324142456055,"#545454
"
10,480,8.915810585021973,"#949494
"
10,665,5.962564945220947,"#767676
"
10,714,6.1870856285095215,"#797979
"
10,29,5.994235515594482,"#777777
"
11,574,5.808172225952148,"#747474
"
11,723,5.452445983886719,"#707070
"
11,287,5.675835132598877,"#737373
"
11,158,5.504758834838867,"#717171
"
11,580,5.507586479187012,"#717171
"
12,282,5.890175819396973,"#757575
"
12,545,5.675269603729248,"#737373
"
13,712,5.399850368499756,"#707070
"
13,124,5.538125514984131,"#717171
"
13,10,6.2509918212890625,"#797979
"
13,481,6.073128700256348,"#777777
"
15,287,5.725320339202881,"#737373
"
17,14,5.725603103637695,"#737373
"
17,152,7.755899906158447,"#8b8b8b
"
18,353,5.533035755157471,"#717171
"
18,344,5.869533538818359,"#757575
"
18,630,5.692518711090088,"#737373
"
19,285,5.527663230895996,"#717171
"
19,378,5.4094648361206055,"#707070
"
19,177,5.8008198738098145,"#747474
"
20,21,5.704960823059082,"#737373
"
20,277,6.24703311920166,"#797979
"
20,89,6.215362548828125,"#797979
"
22,287,5.787529945373535,"#747474
"
22,574,6.236570358276367,"#797979
"
22,163,5.711181640625,"#737373
"
22,158,5.787529945373535,"#747474
"
22,579,5.359131336212158,"#6f6f6f
"
23,269,5.7332377433776855,"#737373
"
24,415,4.704472541809082,"#666666
"
24,48,5.542084217071533,"#717171
"
24,533,6.1313796043396,"#787878
"
24,277,6.281530857086182,"#7a7a7a
"
24,416,3.471834897994995,"#4f4f4f
"
24,21,7.309969902038574,"#868686
"
25,726,4.942426681518555,"#6a6a6a
"
26,73,7.59641695022583,"#898989
"
26,25,6.257778167724609,"#7a7a7a
"
27,578,7.197426795959473,"#848484
"
27,47,7.63091516494751,"#898989
"
27,240,11.262699127197266,"#a3a3a3
"
27,30,17.302337646484375,"#c7c7c7
"
27,35,1.0,"#dcdcdc
"
28,27,18.072490692138672,"#cbcbcb
"
28,578,9.116264343261719,"#959595
"
28,30,13.215841293334961,"#b0b0b0
"
28,35,16.1785945892334,"#c1c1c1
"
28,240,12.700601577758789,"#adadad
"
28,47,7.674461841583252,"#8a8a8a
"
29,238,6.950284957885742,"#828282
"
29,234,6.999486923217773,"#828282
"
29,236,7.344467639923096,"#868686
"
29,578,7.348144054412842,"#868686
"
29,31,10.940187454223633,"#a1a1a1
"
29,33,12.300191879272461,"#aaaaaa
"
29,34,9.930480003356934,"#9a9a9a
"
29,233,10.291692733764648,"#9d9d9d
"
29,241,6.388418674468994,"#7b7b7b
"
29,30,17.439266204833984,"#c8c8c8
"
29,240,7.443154811859131,"#878787
"
29,232,7.536752223968506,"#888888
"
29,28,12.306642532348633,"#aaaaaa
"
29,235,14.123501777648926,"#b5b5b5
"
29,35,15.22875690460205,"#bbbbbb
"
29,32,14.893655776977539,"#b9b9b9
"
29,27,16.18552589416504,"#c1c1c1
"
30,480,5.361110687255859,"#6f6f6f
"
30,578,9.950822830200195,"#9b9b9b
"
30,47,7.845820903778076,"#8c8c8c
"
30,240,8.981305122375488,"#949494
"
31,33,18.731136322021484,"#cfcfcf
"
31,27,14.499045372009277,"#b7b7b7
"
31,241,11.761846542358398,"#a7a7a7
"
31,704,6.065776824951172,"#777777
"
31,28,14.47304630279541,"#b7b7b7
"
31,35,12.271910667419434,"#aaaaaa
"
31,47,9.509231567382812,"#989898
"
31,240,9.401561737060547,"#979797
"
31,160,6.375411033630371,"#7b7b7b
"
31,30,10.977896690368652,"#a1a1a1
"
31,578,7.283671855926514,"#858585
"
32,28,18.087512969970703,"#cccccc
"
32,241,10.084789276123047,"#9b9b9b
"
32,578,8.363076210021973,"#909090
"
32,47,8.321894645690918,"#909090
"
32,160,5.8715128898620605,"#757575
"
32,27,16.71822166442871,"#c4c4c4
"
32,35,15.160002708435059,"#bbbbbb
"
32,30,12.79487419128418,"#adadad
"
32,240,10.487680435180664,"#9e9e9e
"
32,31,19.523822784423828,"#d4d4d4
"
32,33,19.523822784423828,"#d4d4d4
"
33,30,12.809263229370117,"#adadad
"
33,35,15.160002708435059,"#bbbbbb
"
33,47,8.788294792175293,"#939393
"
33,240,11.016101837158203,"#a2a2a2
"
33,28,18.427234649658203,"#cdcdcd
"
33,578,7.2084550857543945,"#858585
"
33,27,19.41636085510254,"#d3d3d3
"
34,28,15.637232780456543,"#bebebe
"
34,233,15.092405319213867,"#bbbbbb
"
34,33,12.9591064453125,"#aeaeae
"
34,31,11.664597511291504,"#a6a6a6
"
34,160,5.833621501922607,"#757575
"
34,241,7.1626458168029785,"#848484
"
34,47,8.298078536987305,"#909090
"
34,578,8.799707412719727,"#939393
"
34,30,8.899933815002441,"#949494
"
34,240,9.222444534301758,"#969696
"
34,35,10.375545501708984,"#9d9d9d
"
34,27,11.218043327331543,"#a3a3a3
"
34,32,16.224815368652344,"#c1c1c1
"
34,285,5.6204118728637695,"#727272
"
35,578,8.06884765625,"#8e8e8e
"
35,47,8.045031547546387,"#8e8e8e
"
35,240,7.819240570068359,"#8c8c8c
"
35,30,17.706768035888672,"#c9c9c9
"
36,38,6.600214004516602,"#7e7e7e
"
36,40,7.271512985229492,"#858585
"
39,38,2.9513349533081055,"#454545
"
39,37,2.5059869289398193,"#343434
"
40,379,4.762235641479492,"#676767
"
42,41,4.172436714172363,"#5c5c5c
"
42,40,3.3897316455841064,"#4e4e4e
"
43,42,3.8934311866760254,"#575757
"
44,177,5.531904697418213,"#717171
"
45,44,3.779176950454712,"#555555
"
46,239,6.813140869140625,"#808080
"
46,28,6.420654296875,"#7b7b7b
"
46,236,6.388701438903809,"#7b7b7b
"
46,399,5.982924461364746,"#767676
"
46,32,5.798274993896484,"#747474
"
46,177,5.782722473144531,"#747474
"
46,234,5.774522304534912,"#747474
"
46,285,5.727299690246582,"#737373
"
46,47,5.719947338104248,"#737373
"
46,31,6.085853576660156,"#787878
"
46,659,5.658020496368408,"#737373
"
46,19,5.692518711090088,"#737373
"
46,237,9.915595054626465,"#9a9a9a
"
46,530,4.687761306762695,"#656565
"
46,704,7.997103691101074,"#8e8e8e
"
46,235,7.880036354064941,"#8c8c8c
"
46,233,7.882298469543457,"#8c8c8c
"
46,34,8.238537788391113,"#8f8f8f
"
46,238,9.671479225158691,"#999999
"
46,578,7.06056547164917,"#838383
"
46,232,7.120230197906494,"#848484
"
47,578,9.058212280273438,"#959595
"
48,483,12.047640800476074,"#a8a8a8
"
48,277,5.692518711090088,"#737373
"
48,52,8.664252281188965,"#929292
"
48,430,5.879430294036865,"#757575
"
48,53,10.168146133422852,"#9c9c9c
"
48,577,9.165881156921387,"#959595
"
49,574,7.073007583618164,"#838383
"
49,482,7.238711357116699,"#858585
"
49,452,5.953516483306885,"#767676
"
49,159,6.036651134490967,"#777777
"
49,579,7.3648271560668945,"#868686
"
49,287,9.967693328857422,"#9b9b9b
"
49,708,5.695911884307861,"#737373
"
49,580,5.950971603393555,"#767676
"
49,431,5.522290229797363,"#717171
"
49,284,5.522290229797363,"#717171
"
49,420,5.650951385498047,"#737373
"
49,158,5.607970237731934,"#727272
"
49,752,5.280238151550293,"#6e6e6e
"
49,408,5.41738224029541,"#707070
"
49,347,11.742992401123047,"#a6a6a6
"
50,287,7.990882873535156,"#8e8e8e
"
50,579,7.4807634353637695,"#888888
"
50,51,9.861512184143066,"#9a9a9a
"
50,400,7.576905727386475,"#898989
"
50,54,5.429258823394775,"#707070
"
50,482,5.94559907913208,"#767676
"
51,323,7.637418746948242,"#8a8a8a
"
52,101,5.390519142150879,"#707070
"
52,441,4.552254676818848,"#636363
"
52,577,12.874261856079102,"#aeaeae
"
52,430,6.550729274749756,"#7d7d7d
"
52,483,7.593306541442871,"#898989
"
52,53,10.719391822814941,"#a0a0a0
"
53,483,16.559337615966797,"#c3c3c3
"
53,430,7.407526016235352,"#878787
"
54,287,10.295661926269531,"#9d9d9d
"
54,574,7.154445648193359,"#848484
"
54,482,5.94559907913208,"#767676
"
54,420,5.818351745605469,"#747474
"
54,103,3.7530202865600586,"#555555
"
56,63,3.5681064128875732,"#515151
"
60,61,3.1644928455352783,"#4a4a4a
"
62,61,3.30145263671875,"#4c4c4c
"
