# index, pid, community, size, pos, leamer, name, color, _pos
0,6932,0,48.78076171875,"array([4551.8996582, 2540.0871582])",8,"WIRE,TWISTED HOOP FOR FENCING OF IRON OR STEEL","#9c9a87
","array([-7.73989395, -7.02390038])"
1,7362,0,65.18072509765625,"array([ 216.83509827, 5013.33081055])",9,METAL FORMING MACHINE TOOLS,"#4037ab
","array([-7.34228819, -6.32634665])"
2,7911,0,53.997589111328125,"array([ 538.91490173, 5650.58911133])",9,"RAIL LOCOMOTIVES,ELECTRIC","#4037ab
","array([-7.5510528 , -6.38727639])"
3,8946,0,57.69525146484375,"array([ 696.39425659, 5316.89794922])",7,NON-MILITARY ARMS AND AMMUNITION THEREFOR,"#4037ab
","array([-7.36467528, -6.41487229])"
4,7264,0,73.33326721191406,"array([  57.28406525, 5879.52807617])",9,PRINTING PRESSES,"#4037ab
","array([-7.26202732, -6.22924198])"
5,2783,0,58.33447265625,"array([4662.25024414, 2529.33813477])",2,"COMMON SALT;ROCK SAT,SEA SALT;PUR.SODIUM CHRLORIDE","#ffc86c
","array([-7.71461296, -7.01852583])"
6,7272,0,65.62896728515625,"array([ 630.65731812, 3553.82763672])",9,OTHER FOOD PROCESSING MACHINERY AND PARTS,"#4037ab
","array([-7.58183342, -6.45784822])"
7,6851,0,58.21435546875,"array([4717.36987305, 2602.58374023])",2,"LEAD AND LEAD ALLOYS,UNWROUGHT","#ffc86c
","array([-7.70289761, -7.04277617])"
8,7411,0,55.46746826171875,"array([ -24.0383606 , 5114.97363281])",9,PRODUCER GAS AND WATER GAS GENERATORS AND PARTS,"#4037ab
","array([-7.39207879, -6.28239427])"
9,8812,0,55.168190002441406,"array([ -97.44848251, 5337.50268555])",9,"CINEMATOGRAPHIC CAMERAS,PROJECTORS,SOUND-REC,PAR","#4037ab
","array([-7.34509674, -6.24687317])"
10,6421,0,82.1201171875,"array([3920.45239258, 3728.5637207 ])",3,"BOXES,BAGS & OTH.PACKING CONTAINERS,OF PAPER/PAPBD","#ff0062
","array([-7.58699925, -6.82091497])"
11,6793,0,58.4931640625,"array([2111.11938477, 5280.89916992])",8,"STEEL & IRON FORGINGS & STAMPINGS,IN ROUGH STATE","#4037ab
","array([-7.43378584, -6.51396454])"
12,6514,0,99.473876953125,"array([3836.84899902, 4794.17871094])",8,"YARN CONTAIN.85% BY WGT.OF SYNTH.FIBRES,NOT F.SALE","#c4af78
","array([-7.42306081, -6.75822391])"
13,620,0,61.291015625,"array([3993.89599609, 3945.66931152])",4,SUGAR CONFECTIONERY AND OTHER SUGAR PREPARATIONS,"#ff0062
","array([-7.61888282, -6.85556122])"
14,488,0,60.940185546875,"array([3239.25793457, 3501.48608398])",6,"MALT EXTRACT;PREP.OF FLOUR ETC,FOR INFANT FOOD","#78b83d
","array([-7.65951404, -6.67926557])"
15,7842,0,60.70166015625,"array([1701.95947266, 4939.60717773])",9,BODIES FOR THE MOTOR VEHICLES OF 722/781/782/783,"#4037ab
","array([-7.56104899, -6.44739459])"
16,7861,0,61.731689453125,"array([3093.47668457, 3807.48779297])",9,TRAILERS & SPECIALLY DESIGNED CONTAINERS,"#473b1c
","array([-7.59172279, -6.60636036])"
17,224,0,80.77685546875,"array([3276.74414062, 3900.66833496])",5,"MILK & CREAM,PRESERVED,CONCENTRATED OR SWEETENED","#223f59
","array([-7.69250237, -6.66138694])"
18,7428,0,80.3497200012207,"array([  88.70946312, 4916.68920898])",9,OTHER PUMPS FOR LIQUIDS & LIQUID ELEVATORS,"#4037ab
","array([-7.45116076, -6.34615521])"
19,6624,0,81.0673828125,"array([4239.05419922, 4371.8815918 ])",7,"NON-REFRACT.CERAMIC BRICKS,TILES,PIPES & SIM.PROD.","#473b1c
","array([-7.47305888, -6.79295298])"
20,7649,0,159.11859130859375,"array([-1089.80899048,  2818.97680664])",9,PARTS OF APPARATUS OF DIVISION 76-,"#ff6bb0
","array([-7.20523933, -5.58690467])"
21,7788,0,146.3590087890625,"array([-1003.82354736,  3072.44165039])",9,OTHER ELECT.MACHINERY AND EQUIPMENT,"#ff6bb0
","array([-7.23416186, -5.62411963])"
22,7239,0,64.279541015625,"array([1805.51062012, 4179.5546875 ])",9,PARTS OF THE MACHINERY OF 723.41 TO 723.46,"#4037ab
","array([-7.49229436, -6.49230108])"
23,7267,0,59.221038818359375,"array([  85.83207703, 4679.02783203])",9,OTHER PRINTING MACH.FOR USES ANCILLARY TO PRINTING,"#4037ab
","array([-7.48788506, -6.28048411])"
24,7528,0,107.63360595703125,"array([-871.48654175, 3211.64526367])",9,OFF-LINE DATA PROCESSING EQUIPMENT.  N.E.S.,"#ff6bb0
","array([-7.28440905, -5.66804486])"
25,360,0,109.2177734375,"array([5449.73583984, 2931.08178711])",5,"CRUSTACEANS AND MOLLUSCS,FRESH,CHILLED,FROZEN ETC","#8c94d1
","array([-7.58337605, -7.30945277])"
26,350,0,60.41748046875,"array([5444.91821289, 2746.34130859])",5,"FISH,DRIED,SALTED OR IN BRINE; SMOKED FISH","#8c94d1
","array([-7.59770925, -7.29515057])"
27,8459,0,112.29443359375,"array([5147.5246582 , 3541.83056641])",7,"OTHER OUTER GARMENTS & CLOTHING,KNITTED","#ffc200
","array([-7.50575611, -6.93701236])"
28,8452,0,60.19580078125,"array([4798.97924805, 3657.67871094])",7,"DRESSES,SKIRTS,SUITS ETC,KNITTED OR CROCHETED","#ffc200
","array([-7.48971883, -6.9125117 ])"
29,8423,0,109.49853515625,"array([4515.06225586, 3802.03955078])",7,"TROUSERS,BREECHES ETC.OF TEXTILE FABRICS","#ffc200
","array([-7.5087296 , -6.90810763])"
30,8463,0,64.30029296875,"array([4558.20678711, 3645.95581055])",7,"UNDER GARMENTS,KNITTED,OF SYNTHETIC FIBRES","#ffc200
","array([-7.51044586, -6.92118548])"
31,8441,0,95.7119140625,"array([5124.1796875 , 4068.88439941])",7,"SHIRTS,MENS,OF TEXTILE FABRICS","#ffc200
","array([-7.46877051, -6.94086664])"
32,8439,0,122.6884765625,"array([5047.66845703, 3806.98876953])",7,OTHER OUTER GARMENTS OF TEXTILE FABRICS,"#ffc200
","array([-7.47874578, -6.93670161])"
33,8451,0,129.03955078125,"array([4821.52270508, 3844.58227539])",7,"JERSEYS,PULL-OVERS,TWINSETS,CARDIGANS,KNITTED","#ffc200
","array([-7.49030033, -6.93768278])"
34,8434,0,61.35498046875,"array([4882.65161133, 4085.87036133])",7,"SKIRTS,WOMENS,OF TEXTILE FABRICS","#ffc200
","array([-7.47801718, -6.91790808])"
35,8462,0,120.78173828125,"array([4940.78051758, 3456.29663086])",7,"UNDER GARMENTS,KNITTED OF COTTON","#ffc200
","array([-7.49859187, -6.94608988])"
36,2686,0,50.359375,"array([4256.17333984, 4824.07446289])",6,WASTE OF SHEEPS/LAMBS WOOL OR OF OTHER ANIM.HAIR,"#5b6b82
","array([-7.21175886, -6.77174591])"
37,2876,0,51.88916015625,"array([4556.43383789, 5117.19750977])",2,TIN ORES AND CONCENTRATES,"#ffc86c
","array([-7.03992311, -6.81609865])"
38,2687,0,53.01611328125,"array([4375.50415039, 4993.81762695])",6,"SHEEPS/LAMBS WOOL/OTHER AIMAL HAIR,CARDED/COMBED","#5b6b82
","array([-7.13998063, -6.79203558])"
39,2683,0,55.51123046875,"array([4437.09545898, 5059.10546875])",6,"FINE ANIMAL HAIR,NOT CARDED OR COMBED","#5b6b82
","array([-7.08258596, -6.80608807])"
40,6512,0,61.0908203125,"array([4087.44921875, 4650.53979492])",8,YARN OF WOOL OR ANIMAL HAIR (INCLUDING WOOL TOPS),"#5b6b82
","array([-7.29308436, -6.73933287])"
41,2685,0,47.03515625,"array([4485.13525391, 4947.46801758])",6,HORSEHAIR & OTHER COARSE ANIMAL HAIR (EXCL.WOOL),"#5b6b82
","array([-7.16956417, -6.75870757])"
42,2682,0,56.89501953125,"array([4312.53540039, 4752.42578125])",6,"SHEEPS OR LAMBSWOOL,DEGREASED,IN THE MASS","#5b6b82
","array([-7.21443392, -6.73969668])"
43,2681,0,58.9150390625,"array([4463.11376953, 4782.70605469])",6,"SEEPS OR LAMBSWOOL,GREASY OR FLEECE-WASHED","#5b6b82
","array([-7.1662438 , -6.72770319])"
44,7711,0,78.236328125,"array([4237.93994141, 4559.40478516])",9,"TRANSFORMERS,ELECTRICAL","#299fff
","array([-7.43503993, -6.82078291])"
45,2672,0,51.7744140625,"array([4555.67773438, 4690.41918945])",6,"WASTE OF MAN-MADE FIBRES,NOT CARDED,COMBED","#9c9a87
","array([-7.39069917, -6.84979723])"
46,6123,0,63.21484375,"array([4677.2734375 , 4208.81640625])",8,PARTS OF FOOTWEAR,"#ffc200
","array([-7.46759596, -6.87824566])"
47,8465,0,65.70458984375,"array([4792.41674805, 3475.55834961])",7,"CORSETS,BRASSIERES,SUSPENDRES AND THE LIKE","#ffc200
","array([-7.4686975 , -6.92776767])"
48,7599,0,179.1282958984375,"array([-885.65197754, 3474.15966797])",9,"PARTS OF AND ACCESSORIES SUITABLE FOR 751.2-,752-","#ff6bb0
","array([-7.32977087, -5.64502328])"
49,6210,0,77.404541015625,"array([1911.77404785, 4101.13574219])",8,"MATERIALS OF RUBBER(E.G.,PASTES.PLATES,SHEETS,ETC)","#a66195
","array([-7.51219594, -6.51792086])"
50,7492,0,120.279052734375,"array([1200.3807373 , 4490.07104492])",9,"TAPS,COCKS,VALVES ETC.FOR PIPES,TANKS,VATS ETC","#4037ab
","array([-7.47419341, -6.46540254])"
51,8743,0,107.57440185546875,"array([ 981.84609985, 4524.69262695])",9,"INSTR.NON ELECTRICAL,FOR MEASURING,CHECKING FLOW","#4037ab
","array([-7.45399505, -6.39100263])"
52,7722,0,102.7716064453125,"array([-1392.69708252,  3120.02539062])",9,PRINTED CIRCUITS AND PARTS THEREOF,"#ff6bb0
","array([-7.35163453, -5.60377903])"
53,7764,0,194.5164794921875,"array([-1194.76580811,  3648.38623047])",9,ELECTRONIC MICROCIRCUITS,"#ff6bb0
","array([-7.38066315, -5.68746392])"
54,7732,0,61.09423828125,"array([ 947.57183838, 4742.56640625])",9,ELECTRIC INSULATING EQUIPMENT,"#4037ab
","array([-7.4560005 , -6.43865711])"
55,2654,0,47.8828125,"array([5085.265625  , 6212.17797852])",6,"SISAL & OTHER FIBRES OF AGAVE FAMILY,RAW OR PROCE.","#3aa67b
","array([-6.67489553, -7.19678662])"
56,1121,0,86.88916015625,"array([4861.73950195, 2063.92340088])",4,WINE OF FRESH GRAPES (INCLUDING GRAPE MUST),"#ff0062
","array([-8.16461656, -7.41764307])"
